k,bic,aic,loo_mean,loo_std,ari_mean,bic_rank,aic_rank,loo_rank
2,1943.1377,1885.2687,-2.6527,0.0166,0.5724,9,9,9.0000
3,1303.3819,1203.0756,-1.6470,0.0191,0.8336,8,8,8.0000
4,906.8217,756.3623,-0.9732,0.0243,0.8582,7,7,7.0000
5,563.4719,355.1435,-0.4782,0.0411,0.6715,6,6,6.0000
6,403.2292,129.3159,-0.1451,0.1313,0.6320,4,5,5.0000
7,402.3369,55.1230,0.2890,0.1766,0.8128,3,4,3.0000
8,330.4041,-97.8265,0.2345,0.2582,0.5565,1,2,4.0000
9,562.4971,45.5340,0.4802,0.1454,0.4637,5,3,2.0000
10,401.8166,-211.5948,0.5836,0.4821,0.5173,2,1,1.0000
