method,within_mean_f1,across_mean_f1,gap,dc_shuffle_stat,dc_shuffle_p
HMM,0.6106,0.4947,0.1159,0.0412,0.0
equal_duration,0.6055,0.5005,0.105,0.0133,0.0
HMM_minus_equal (direct perm),,,0.0108,,0.0
