method,within_mean_f1,across_mean_f1,gap,dc_shuffle_stat,dc_shuffle_p
HMM,0.6287,0.4882,0.1405,0.0939,0.0
equal_duration,0.6055,0.5005,0.105,0.0133,0.0
HMM_minus_equal (direct perm),,,0.0355,,0.0
