state,n_windows,window_ids,start_date,end_date,total_samples,within_f1_mean,across_f1_mean,f1_gap,pca_mean_scaled_PC1,pca_mean_raw_PC1,pca_mean_scaled_PC2,pca_mean_raw_PC2,pca_mean_scaled_PC3,pca_mean_raw_PC3
0,12,0;1;2;3;4;5;6;7;8;9;10;11,2013-01-06,2014-12-26,113940,,,,-1.040763,-1.040763,-0.715091,-0.715091,0.399453,0.399453
1,2,23;24,2016-10-17,2017-02-13,18990,,,,0.931765,0.931765,0.728947,0.728947,1.258571,1.258571
2,5,15;16;17;18;19,2015-06-25,2016-04-19,47475,,,,-0.350286,-0.350286,1.394097,1.394097,-1.187626,-1.187626
3,3,30;32;34,2017-12-11,2018-10-06,28485,,,,1.288258,1.288258,-1.145206,-1.145206,-1.304729,-1.304729
4,3,12;13;14,2014-12-27,2015-06-24,28485,,,,-0.568599,-0.568599,0.378048,0.378048,-0.798654,-0.798654
5,3,20;21;22,2016-04-20,2016-10-16,28485,,,,0.224207,0.224207,1.796861,1.796861,0.826318,0.826318
6,2,31;33,2018-02-09,2018-08-07,18990,,,,1.487669,1.487669,-1.077256,-1.077256,-0.559572,-0.559572
7,5,25;26;27;28;29,2017-02-14,2017-12-10,47475,,,,1.314053,1.314053,-0.156444,-0.156444,0.715535,0.715535
