train_win,test_win,lag,same_state,state_i,state_j,jsd,pair_id,seed,f1
2,22,20,0,0,2,0.128408,92,-1,0.40081557631492615
2,23,21,0,0,6,0.129923,93,-1,0.3848091959953308
2,24,22,0,0,6,0.108423,94,-1,0.40039023756980896
2,25,23,0,0,6,0.13289,95,-1,0.39985111355781555
2,26,24,0,0,6,0.149479,96,-1,0.3916827142238617
2,27,25,0,0,6,0.14902,97,-1,0.4073546826839447
2,28,26,0,0,1,0.178039,98,-1,0.39015328884124756
2,29,27,0,0,1,0.196229,99,-1,0.3865751624107361
2,30,28,0,0,1,0.192224,100,-1,0.39490988850593567
2,31,29,0,0,1,0.26774,101,-1,0.34743988513946533
2,32,30,0,0,1,0.274363,102,-1,0.3422899544239044
2,33,31,0,0,1,0.276786,103,-1,0.35379689931869507
2,34,32,0,0,4,0.264036,104,-1,0.29481208324432373
3,0,3,1,0,0,0.001947,3,-1,0.6603878736495972
3,1,2,1,0,0,0.001594,38,-1,0.6795507073402405
3,2,1,1,0,0,0.00212,73,-1,0.6808966398239136
3,4,1,1,0,0,0.001271,109,-1,0.6610418558120728
3,5,2,1,0,0,0.001188,110,-1,0.6393915414810181
3,6,3,1,0,0,0.002164,111,-1,0.6403598785400391
3,7,4,1,0,0,0.002726,112,-1,0.653693437576294
3,8,5,0,0,3,0.003501,113,-1,0.6484297513961792
3,9,6,0,0,3,0.003513,114,-1,0.6370753049850464
3,10,7,0,0,3,0.003367,115,-1,0.6410737633705139
3,11,8,0,0,3,0.004618,116,-1,0.6399353742599487
3,12,9,0,0,5,0.039606,117,-1,0.6238638162612915
3,13,10,0,0,5,0.026146,118,-1,0.6427010297775269
3,14,11,0,0,5,0.045469,119,-1,0.523006021976471
3,15,12,0,0,5,0.046092,120,-1,0.5239883661270142
3,16,13,0,0,5,0.058905,121,-1,0.501460611820221
3,17,14,0,0,5,0.062175,122,-1,0.49674153327941895
3,18,15,0,0,5,0.057457,123,-1,0.5065774917602539
3,19,16,0,0,5,0.056817,124,-1,0.5064585208892822
3,20,17,0,0,2,0.07547,125,-1,0.4491081237792969
3,21,18,0,0,2,0.100478,126,-1,0.45058390498161316
3,22,19,0,0,2,0.148828,127,-1,0.39367738366127014
3,23,20,0,0,6,0.151808,128,-1,0.3749157786369324
3,24,21,0,0,6,0.127669,129,-1,0.39317092299461365
3,25,22,0,0,6,0.15329,130,-1,0.3938072919845581
3,26,23,0,0,6,0.170209,131,-1,0.3839270770549774
3,27,24,0,0,6,0.169255,132,-1,0.40591710805892944
3,28,25,0,0,1,0.199556,133,-1,0.3903351128101349
3,29,26,0,0,1,0.218439,134,-1,0.3816092908382416
3,30,27,0,0,1,0.214146,135,-1,0.3875043988227844
3,31,28,0,0,1,0.29245,136,-1,0.3462688624858856
3,32,29,0,0,1,0.299127,137,-1,0.33932751417160034
3,33,30,0,0,1,0.302907,138,-1,0.3500121533870697
3,34,31,0,0,4,0.289317,139,-1,0.2836819291114807
4,0,4,1,0,0,0.000945,4,-1,0.637840211391449
4,1,3,1,0,0,0.003751,39,-1,0.6559839844703674
4,2,2,1,0,0,0.006138,74,-1,0.6574645638465881
4,3,1,1,0,0,0.001271,109,-1,0.6607714295387268
4,5,1,1,0,0,0.000814,145,-1,0.6301305294036865
4,6,2,1,0,0,0.001381,146,-1,0.6357187628746033
4,7,3,1,0,0,0.004681,147,-1,0.6432765126228333
4,8,4,0,0,3,0.003177,148,-1,0.6287569999694824
4,9,5,0,0,3,0.002623,149,-1,0.6328805685043335
4,10,6,0,0,3,0.002087,150,-1,0.6338310837745667
4,11,7,0,0,3,0.00466,151,-1,0.6244708895683289
4,12,8,0,0,5,0.039588,152,-1,0.6151770949363708
4,13,9,0,0,5,0.02947,153,-1,0.631430447101593
4,14,10,0,0,5,0.049095,154,-1,0.5086034536361694
4,15,11,0,0,5,0.048695,155,-1,0.5146320462226868
4,16,12,0,0,5,0.061273,156,-1,0.4868582785129547
