state,n_windows,window_ids,start_date,end_date,total_samples,within_f1_mean,across_f1_mean,f1_gap,pca_mean_scaled_PC1,pca_mean_raw_PC1,pca_mean_scaled_PC2,pca_mean_raw_PC2,pca_mean_scaled_PC3,pca_mean_raw_PC3
0,4,20;21;22;23,2016-04-20,2016-12-15,37980,,,,0.378191,0.378191,1.59182,1.59182,0.962298,0.962298
1,12,0;1;2;3;4;5;6;7;8;9;10;11,2013-01-06,2014-12-26,113940,,,,-1.040767,-1.040767,-0.715103,-0.715103,0.39947,0.39947
2,4,24;25;26;27,2016-12-16,2017-08-12,37980,,,,1.18042,1.18042,0.104853,0.104853,1.012646,1.012646
3,4,16;17;18;19,2015-08-24,2016-04-19,37980,,,,-0.321139,-0.321139,1.456209,1.456209,-1.152483,-1.152483
4,4,31;32;33;34,2018-02-09,2018-10-06,37980,,,,1.372444,1.372444,-1.222037,-1.222037,-1.287939,-1.287939
5,3,28;29;30,2017-08-13,2018-02-08,28485,,,,1.408276,1.408276,-0.470748,-0.470748,0.273731,0.273731
6,4,12;13;14;15,2014-12-27,2015-08-23,37980,,,,-0.543194,-0.543194,0.569887,0.569887,-0.930994,-0.930994
