distance,within_mean,within_lo,within_hi,across_mean,across_lo,across_hi,gap,n_within,n_across
1,0.6167266477037359,0.6131605316119061,0.6205545315670746,0.5825809336134365,0.5728339291736484,0.5916919809207319,0.03414571409029932,540,140
2,0.6096446937322617,0.6054631040096282,0.613513080831617,0.5818999730623685,0.575765286423266,0.5880436679692223,0.027744720669893197,400,260
3,0.6091629207134247,0.6045249341800809,0.6138410994623388,0.5738395166065958,0.5687924049153096,0.579244904273914,0.03532340410682888,280,360
4,0.6034113457798957,0.597460581868887,0.6093424787595868,0.5687643434320178,0.5636673443853145,0.5740046480475437,0.034647002347877986,200,420
5,0.6016101360321044,0.5941899607117687,0.609061379879713,0.5600011708295863,0.5548333458845383,0.5650317690877811,0.04160896520251811,140,460
6,0.6114638045430183,0.6025125005096197,0.620769717618823,0.555995671570301,0.5509575592041016,0.5610695144534111,0.05546813297271724,80,500
7,0.6132573246955871,0.601267059855163,0.6250601739436388,0.5484923456723874,0.5429286176310135,0.5533331815239328,0.06476497902319978,40,520
pooled,0.6106017682169165,0.6085859699015107,0.6126129608956121,0.4947196740110326,0.49305928746839794,0.49633802554582895,0.11588209420588386,1680,10220
