state_i,state_j,mean_f1,n_pairs,jsd,pca_dist
0,1,0.6502,320,0.001537,0.783817
0,2,0.5388,320,0.036639,1.845722
0,3,0.3694,240,0.248203,2.405925
0,4,0.2826,40,0.286338,4.077344
0,5,0.3951,120,0.130986,2.680692
0,6,0.4532,80,0.075951,2.563815
0,7,0.3993,120,0.156301,2.42621
1,0,0.64,320,0.001537,0.783817
1,2,0.539,640,0.043158,2.579253
1,3,0.3632,480,0.248674,2.662323
1,4,0.287,80,0.286841,4.624037
1,5,0.3892,240,0.135778,2.775279
1,6,0.4505,160,0.081682,2.941188
1,7,0.3944,240,0.160024,2.494166
2,0,0.5753,320,0.036639,1.845722
2,1,0.5778,640,0.043158,2.579253
2,3,0.4361,480,0.149672,2.74272
2,4,0.3416,80,0.183647,3.857371
2,5,0.4632,240,0.046195,2.69158
2,6,0.5246,160,0.01616,1.796565
2,7,0.4696,240,0.06507,2.806062
3,0,0.4647,240,0.248203,2.405925
3,1,0.4529,480,0.248674,2.662323
3,2,0.5029,480,0.149672,2.74272
3,4,0.4485,60,0.056216,3.403371
3,5,0.526,180,0.058903,2.461871
3,6,0.4914,120,0.122563,3.022076
3,7,0.5664,180,0.026139,1.372939
4,0,0.4261,40,0.286338,4.077344
4,1,0.4083,80,0.286841,4.624037
4,2,0.4425,80,0.183647,3.857371
4,3,0.4958,60,0.056216,3.403371
4,5,0.424,30,0.098481,5.492386
4,6,0.3997,20,0.16958,5.313292
4,7,0.474,30,0.057752,4.684923
5,0,0.4951,120,0.130986,2.680692
5,1,0.4876,240,0.135778,2.775279
5,2,0.5468,240,0.046195,2.69158
5,3,0.5111,180,0.058903,2.461871
5,4,0.3852,30,0.098481,5.492386
5,6,0.561,60,0.016994,1.388442
5,7,0.5546,90,0.009733,1.221568
6,0,0.5148,80,0.075951,2.563815
6,1,0.5166,160,0.081682,2.941188
6,2,0.5677,160,0.01616,1.796565
6,3,0.4509,120,0.122563,3.022076
6,4,0.3401,20,0.16958,5.313292
6,5,0.5306,60,0.016994,1.388442
6,7,0.5067,60,0.044176,2.248947
7,0,0.4977,120,0.156301,2.42621
7,1,0.4911,240,0.160024,2.494166
7,2,0.5403,240,0.06507,2.806062
7,3,0.5569,180,0.026139,1.372939
7,4,0.4268,30,0.057752,4.684923
7,5,0.5627,90,0.009733,1.221568
7,6,0.5385,60,0.044176,2.248947
